file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\model\message\Message.java,im.turms.server.common.access.client.dto.model.message.Message,class,15,23,8,15,159,2,0,55,1201,0.939394,0.0754717,0.23410203,55,17,50,2,3,0,54,0,2,0,27,14,11,16,0,0,14,0,3,985,81,2,55,0,85,5,136,80,49,36,2,1,1,0,145,17,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\infra\cluster\service\connection\ConnectionServer.java,im.turms.server.common.infra.cluster.service.connection.ConnectionServer,class,13,15,2,13,10,1,0,17,0,0.37037036,0.6666667,1.0,3,0,3,0,0,0,3,0,0,1,9,1,0,9,0,0,7,0,1,50,2,1,1,1,0,4,1,13,1,14,3,0,0,3,56,1,2
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\infra\property\env\gateway\NotificationLoggingProperties.java,im.turms.server.common.infra.property.env.gateway.NotificationLoggingProperties,class,5,6,1,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,0,0,0,0,20,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\model\group\GroupJoinRequestsWithVersion.java,im.turms.client.model.proto.model.group.GroupJoinRequestsWithVersion,class,12,16,4,12,46,1,0,17,377,0.8865546,0.4,0.4,34,16,23,10,1,0,25,0,1,0,7,4,2,5,0,0,3,0,2,246,30,0,3,0,2,7,8,18,1,12,4,0,1,0,94,17,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\model\conversation\Conversations.java,im.turms.server.common.access.client.dto.model.conversation.Conversations$Anonymous1,anonymous,4,4,0,4,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,0,0,1,0,1,1,0,0,0,10,-1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\infra\tracing\TracingContext.java,im.turms.server.common.infra.tracing.TracingContext,class,5,10,5,5,14,1,0,9,18,0.8148148,0.13333334,0.13333334,9,3,9,0,0,0,10,0,0,0,6,5,4,2,0,0,5,0,0,73,6,0,4,1,0,2,1,12,0,11,4,1,0,2,38,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\infra\lang\NumberFormatter.java,im.turms.server.common.infra.lang.NumberFormatter,class,2,9,7,2,24,1,0,4,15,0.5714286,0.06666667,0.06666667,7,6,5,1,0,1,6,0,0,0,2,2,0,0,0,2,2,0,4,102,6,5,0,0,5,0,28,46,15,22,2,0,0,0,39,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\request\group\enrollment\CreateGroupJoinRequestRequest.java,im.turms.server.common.access.client.dto.request.group.enrollment.CreateGroupJoinRequestRequest$Anonymous1,anonymous,4,4,0,4,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,0,0,1,0,1,1,0,0,0,13,-1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\request\message\UpdateMessageRequest.java,im.turms.server.common.access.client.dto.request.message.UpdateMessageRequest,class,14,19,5,14,75,2,0,35,688,0.92307687,0.045883942,0.0877193,40,17,35,2,3,0,39,0,2,0,13,7,4,9,0,0,7,0,3,565,51,2,18,0,23,5,49,45,21,22,2,1,1,0,123,17,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\model\group\GroupsWithVersion.java,im.turms.client.model.proto.model.group.GroupsWithVersion,class,12,16,4,12,46,1,0,17,377,0.8865546,0.4,0.4,34,16,23,10,1,0,25,0,1,0,7,4,2,5,0,0,3,0,2,246,30,0,3,0,2,7,8,18,1,12,4,0,1,0,88,17,0
